,Unnamed: 0,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG_ByPR
0,0,1101,台泥,水泥工業,71,71,71,29,57,43,43,15,43,57,15,15,15,85,29,15,99,29,43,99,15,29,29,35,55,50,45
1,1,1102,亞泥,水泥工業,85,85,85,15,43,99,99,29,29,99,99,29,29,15,15,29,85,99,57,85,29,15,15,35,78,69,58
2,2,1103,嘉泥,水泥工業,99,99,99,43,99,85,85,99,57,85,85,99,99,99,99,99,71,85,29,71,85,71,99,88,85,78,83
3,3,1104,環泥,水泥工業,57,57,57,57,29,71,71,71,99,71,71,71,85,71,85,85,57,71,99,57,43,43,43,67,62,69,65
4,4,1108,幸福,水泥工業,15,15,15,99,71,15,29,43,15,43,57,57,57,57,43,71,43,15,85,43,71,57,71,52,31,55,46
5,5,1109,信大,水泥工業,29,43,43,71,85,57,57,57,85,29,43,43,43,43,71,57,29,43,15,29,57,85,57,56,50,43,53
6,6,1110,東泥,水泥工業,43,29,29,85,15,29,15,85,71,15,29,85,71,29,57,43,15,57,71,15,99,99,85,66,38,36,49
7,7,1201,味全,食品工業,51,51,59,43,67,47,15,23,59,79,55,31,31,39,75,59,99,99,47,43,35,31,71,45,44,75,54
8,8,1203,味王,食品工業,27,27,31,71,27,63,63,59,23,43,23,51,87,67,35,15,95,75,15,27,71,71,43,51,47,45,50
9,9,1210,大成,食品工業,47,47,51,59,43,31,67,63,43,95,27,83,67,63,71,31,19,95,59,55,51,47,63,58,50,57,56
10,10,1213,大飲,食品工業,19,19,15,99,15,91,95,95,87,15,31,99,71,91,59,43,23,67,35,11,99,99,47,72,56,33,59
11,11,1215,卜蜂,食品工業,55,55,27,83,19,23,47,31,15,19,35,19,23,31,27,79,27,91,27,95,15,15,15,29,48,44,39
12,12,1216,統一,食品工業,87,87,95,15,51,59,75,19,19,99,99,15,19,11,15,19,31,43,79,31,11,11,19,24,70,54,42
13,13,1217,愛之味,食品工業,39,39,47,63,83,55,39,51,35,23,39,87,83,51,67,47,35,87,23,91,43,39,59,59,47,50,55
14,14,1218,泰山,食品工業,67,67,63,47,55,43,31,43,31,27,43,63,79,95,63,51,39,63,87,87,67,63,55,63,53,54,59
15,15,1219,福壽,食品工業,43,43,43,55,39,39,23,55,91,31,47,55,63,23,55,55,43,15,43,67,83,83,95,65,41,38,49
16,16,1220,台榮,食品工業,31,31,35,75,35,79,71,39,11,35,51,27,43,35,11,23,47,51,55,83,55,51,11,38,54,41,45
17,17,1225,福懋油,食品工業,59,59,55,51,23,71,43,79,51,39,19,79,95,79,39,63,51,35,83,59,75,75,31,62,56,49,56
18,18,1227,佳格,食品工業,83,79,79,27,71,35,51,47,67,47,15,43,59,55,95,95,55,55,19,23,31,27,83,50,59,57,56
19,19,1229,聯華,食品工業,99,99,67,39,47,87,87,99,95,83,59,91,55,47,43,35,59,71,39,79,91,91,67,74,80,56,70
20,20,1231,聯華食,食品工業,35,35,39,79,71,19,79,91,83,75,63,47,39,71,47,67,63,39,99,75,27,23,35,55,48,69,54
21,21,1232,大統益,食品工業,91,91,99,11,63,75,59,67,71,51,67,59,11,59,83,27,67,79,63,71,63,59,87,63,71,58,64
22,22,1233,天仁,食品工業,11,11,23,91,95,27,27,75,27,55,71,75,91,75,51,87,11,83,67,63,79,67,27,64,32,66,57
23,23,1234,黑松,食品工業,63,63,71,67,31,67,55,35,63,59,87,35,47,19,79,15,71,47,31,51,47,43,75,53,64,42,52
24,24,1235,興泰,食品工業,15,15,11,95,79,83,11,87,79,63,75,95,99,83,91,91,75,59,75,15,95,95,51,79,38,74,68
25,25,1236,宏亞,食品工業,23,23,19,87,99,51,35,83,99,67,11,71,75,87,31,99,79,11,51,99,87,87,99,75,40,68,62
26,26,1256,鮮活果汁-KY,食品工業,71,71,75,35,87,15,19,71,47,71,79,67,51,99,99,83,83,23,91,47,59,55,91,70,48,73,63
27,27,1702,南僑,食品工業,95,95,91,31,91,95,91,27,75,87,83,11,15,43,23,71,87,31,11,19,23,19,39,34,83,63,54
28,28,1737,臺鹽,食品工業,75,75,87,19,59,11,83,11,39,91,91,23,27,15,19,75,91,19,95,35,19,79,23,35,58,72,51
29,29,3054,立萬利,食品工業,79,83,83,23,75,99,99,15,55,11,95,39,35,27,87,39,15,27,71,39,39,35,79,50,78,40,51
30,30,1301,台塑,塑膠工業,69,69,89,9,34,9,39,4,0,94,99,4,0,9,0,0,94,19,0,9,4,4,4,12,47,40,29
31,31,1303,南亞,塑膠工業,64,64,74,14,24,4,44,9,84,99,94,19,4,4,89,4,39,24,49,4,9,9,84,37,44,40,37
32,32,1304,台聚,塑膠工業,94,99,84,24,9,89,89,39,34,79,34,54,34,99,69,34,4,89,39,59,69,74,64,57,80,42,59
33,33,1305,華夏,塑膠工業,49,54,59,34,19,14,19,19,64,89,44,39,24,84,79,39,9,84,44,54,34,39,69,50,38,47,47
34,34,1307,三芳,塑膠工業,34,34,34,64,44,44,34,54,9,4,19,64,69,64,19,74,14,79,24,39,64,49,9,42,41,40,42
35,35,1308,亞聚,塑膠工業,79,79,79,19,14,74,79,49,59,9,69,69,39,34,54,44,19,74,64,89,84,84,74,64,68,37,58
36,36,1309,台達化,塑膠工業,74,74,69,29,54,69,74,34,69,14,64,59,44,79,39,49,99,34,59,84,29,34,54,54,65,52,56
37,37,1310,台苯,塑膠工業,54,49,54,39,59,29,4,29,54,19,59,34,59,74,49,19,24,69,94,79,19,24,49,48,38,47,46
38,38,1312,國喬,塑膠工業,99,94,99,4,74,59,64,24,14,24,54,29,84,69,24,64,29,9,19,64,24,19,14,38,70,36,45
39,39,1313,聯成,塑膠工業,89,89,64,49,89,34,9,64,19,29,49,44,89,59,29,24,34,64,69,19,44,54,19,44,56,52,50
40,40,1314,中石化,塑膠工業,59,59,49,44,29,49,49,14,94,39,79,24,29,24,99,54,44,29,9,0,14,14,99,45,52,34,41
41,41,1315,達新,塑膠工業,29,29,29,74,94,39,24,94,79,34,74,84,99,49,59,59,79,54,29,94,89,94,79,81,37,58,63
42,42,1321,大洋,塑膠工業,39,39,39,54,39,19,14,99,74,69,9,94,54,44,84,29,84,4,34,69,74,79,59,67,34,43,51
43,43,1323,永裕,塑膠工業,19,19,24,79,69,54,29,59,89,44,84,99,64,94,94,14,89,44,79,99,94,99,89,88,37,56,65
44,44,1324,地球,塑膠工業,24,14,14,84,79,64,59,89,99,49,4,79,74,39,64,94,49,49,84,44,99,89,94,70,43,67,62
45,45,1325,恆大,塑膠工業,0,0,0,99,99,79,69,74,39,54,39,89,79,29,74,79,54,0,54,29,49,59,34,54,41,57,51
46,46,1326,台化,塑膠工業,84,84,94,0,4,24,54,0,4,74,89,0,9,0,4,9,59,39,4,49,0,0,0,14,57,32,32
47,47,1337,再生-KY,塑膠工業,9,9,9,89,49,84,84,84,44,59,29,14,19,19,14,84,64,94,14,24,59,69,39,38,47,61,49
48,48,1340,勝悅-KY,塑膠工業,4,4,4,94,0,94,94,79,49,64,24,9,14,14,9,89,69,14,74,34,54,64,44,36,49,52,45
49,49,1341,富林-KY,塑膠工業,44,44,44,59,64,0,0,69,29,84,0,74,94,54,44,69,74,59,89,14,39,44,29,45,32,73,47
50,50,4306,炎洲,塑膠工業,14,24,19,69,84,99,99,44,24,0,14,49,49,89,34,99,0,99,99,74,79,29,24,46,54,64,56
51,51,1316,上曜,建材營造,53,69,5,85,25,99,99,73,53,97,99,33,79,87,35,79,0,99,57,99,0,71,21,59,68,60,62
52,52,1436,華友聯,建材營造,31,29,37,43,27,5,0,99,43,1,59,49,93,63,33,29,71,79,43,41,21,49,7,51,24,42,42
53,53,1438,三地開發,建材營造,1,1,0,97,89,27,25,67,0,35,57,5,15,35,11,53,39,19,0,39,31,77,81,38,25,39,36
54,54,1439,雋揚,建材營造,81,67,45,25,43,29,29,93,0,33,55,51,83,57,9,51,37,47,69,37,33,65,1,44,46,47,46
55,55,1442,名軒,建材營造,41,35,41,47,99,21,31,89,91,31,53,79,89,61,87,49,35,15,67,35,29,67,9,63,36,49,50
56,56,1453,大將,建材營造,0,0,0,93,65,37,21,65,0,29,51,7,13,43,13,47,33,39,39,33,37,75,79,38,25,42,39
57,57,1456,怡華,建材營造,3,5,1,79,43,19,37,41,0,27,49,3,0,55,7,9,0,67,65,31,97,93,73,41,24,35,37
58,58,1472,三洋實業,建材營造,0,0,0,99,89,39,41,63,0,25,47,9,11,37,15,45,31,45,19,29,39,73,77,36,30,42,38
59,59,1805,寶徠,建材營造,33,39,13,77,57,49,47,91,1,23,45,11,91,31,17,15,29,57,11,27,35,69,75,45,43,32,42
60,60,1808,潤隆,建材營造,57,59,61,39,57,47,19,95,81,21,35,89,87,59,93,43,27,31,45,25,0,81,97,67,47,37,56
61,61,2442,新美齊,建材營造,87,43,87,15,49,45,49,37,83,77,43,57,85,93,19,41,25,83,63,23,57,85,87,61,54,56,58
62,62,2501,國建,建材營造,63,65,69,19,67,13,7,55,37,19,41,83,47,51,21,31,23,65,71,21,13,45,0,38,39,46,39
63,63,2504,國產,建材營造,65,83,51,29,61,0,11,15,63,89,0,61,35,0,27,0,21,73,73,17,11,17,43,26,40,53,36
64,64,2505,國揚,建材營造,85,85,71,21,93,41,43,9,61,17,0,0,21,65,29,13,19,63,97,0,59,55,11,28,58,50,41
65,65,2506,太設,建材營造,0,0,27,63,73,17,0,0,23,37,39,21,1,47,71,25,17,61,41,15,55,19,57,32,18,42,31
66,66,2509,全坤建,建材營造,5,3,17,65,79,33,39,17,19,15,37,73,37,45,69,37,15,85,0,13,61,25,49,40,27,38,40
67,67,2511,太子,建材營造,67,61,39,37,83,35,35,87,89,81,61,91,23,69,85,0,1,49,35,11,0,79,93,63,46,42,49
68,68,2515,中工,建材營造,27,31,19,73,63,31,33,49,45,11,1,59,43,71,37,9,13,69,21,9,9,37,13,34,36,31,33
69,69,2516,新建,建材營造,9,11,0,89,45,0,9,19,29,9,65,71,33,25,63,35,0,11,0,7,65,63,59,45,20,17,30
70,70,2520,冠德,建材營造,93,93,91,0,77,25,27,57,57,7,63,63,59,73,41,19,11,7,5,5,17,59,15,46,55,21,39
71,71,2524,京城,建材營造,89,91,79,5,69,23,23,5,33,5,3,17,7,75,75,55,9,41,17,3,41,31,65,32,52,33,41
72,72,2527,宏璟,建材營造,59,55,29,41,89,51,51,29,47,3,97,31,25,27,77,3,7,3,13,1,67,51,0,41,48,20,37
73,73,2528,皇普,建材營造,13,13,15,75,17,43,45,21,27,1,95,69,31,29,73,99,5,9,77,0,93,61,53,50,34,35,39
74,74,2530,華建,建材營造,39,41,73,7,89,55,55,85,97,85,93,99,95,91,89,61,3,87,59,0,0,83,95,75,45,64,63
75,75,2534,宏盛,建材營造,29,33,25,69,37,79,79,61,79,1,91,77,53,95,79,93,3,17,27,0,45,87,89,69,52,30,51
76,76,2535,達欣工,建材營造,75,77,81,1,31,0,13,39,99,1,89,53,61,99,99,91,41,89,29,43,0,97,99,71,41,47,56
77,77,2536,宏普,建材營造,17,17,67,9,69,97,97,71,95,1,87,93,81,33,91,89,43,0,79,19,91,35,71,70,51,47,54
78,78,2537,聯上發,建材營造,77,81,59,13,85,53,53,23,51,41,19,0,39,67,23,57,99,0,99,45,95,39,3,37,56,64,46
79,79,2538,基泰,建材營造,79,87,89,0,17,95,95,45,59,13,7,65,99,77,43,5,47,71,3,75,3,57,17,50,74,26,51
80,80,2539,櫻花建,建材營造,15,15,35,67,77,1,0,11,93,39,9,85,29,0,97,87,95,0,81,97,51,47,83,55,22,63,46
81,81,2540,愛山林,建材營造,97,97,99,0,35,93,93,7,15,47,11,15,9,17,61,85,93,77,0,95,43,33,61,33,80,56,54
82,82,2542,興富發,建材營造,51,63,75,55,89,91,91,43,49,43,79,55,45,79,39,83,91,33,61,93,47,91,19,58,71,67,65
83,83,2543,皇昌,建材營造,0,0,0,95,47,0,3,0,21,73,77,23,5,39,67,81,89,23,49,91,53,21,55,41,16,60,37
84,84,2545,皇翔,建材營造,55,57,83,31,51,89,89,47,41,71,75,1,19,41,31,1,87,5,83,89,89,53,0,44,67,50,51
85,85,2546,根基,建材營造,19,21,53,33,33,0,5,59,55,69,73,47,57,81,0,27,85,59,9,87,5,13,5,44,22,47,40
86,86,2547,日勝生,建材營造,49,51,55,45,75,87,87,25,17,87,71,27,27,19,57,59,83,91,85,85,7,43,69,41,62,80,57
87,87,2548,華固,建材營造,99,99,95,0,19,85,85,69,85,83,69,75,97,97,83,23,81,29,51,83,15,99,91,78,77,48,67
88,88,2597,潤弘,建材營造,71,73,85,17,39,15,15,3,87,61,13,0,0,0,59,21,79,53,15,81,99,95,85,47,46,45,46
89,89,2923,鼎固-KY,建材營造,37,47,77,57,91,83,83,0,11,59,15,13,0,0,49,7,77,25,53,79,87,11,45,28,64,52,43
90,90,3052,夆典,建材營造,11,9,3,81,45,81,81,1,25,57,17,19,3,21,65,77,75,21,55,77,85,23,51,35,44,55,44
91,91,3056,富華新,建材營造,69,75,93,27,93,77,77,0,35,55,0,0,0,83,53,33,97,1,37,73,83,27,63,38,70,53,49
92,92,3266,昇陽,建材營造,45,49,63,3,57,57,57,0,31,53,21,0,0,49,51,95,73,93,31,49,81,29,47,33,46,67,47
93,93,3703,欣陸,建材營造,91,89,23,71,29,9,17,13,39,99,0,25,17,0,55,75,69,0,87,71,49,9,41,29,50,60,42
94,94,5515,建國,建材營造,21,19,49,61,55,75,75,53,65,79,67,95,77,53,81,0,67,95,23,69,23,15,0,54,50,53,55
95,95,5519,隆大,建材營造,83,79,65,11,23,7,1,75,75,45,23,45,69,15,3,73,65,97,89,67,79,0,39,45,41,65,51
96,96,5521,工信,建材營造,0,0,11,87,21,73,73,27,3,75,81,29,41,23,25,71,63,37,91,65,25,0,0,29,41,60,41
97,97,5522,遠雄,建材營造,95,95,97,0,87,71,71,35,9,95,83,87,75,89,95,69,61,51,0,63,27,89,67,65,72,60,65
98,98,5525,順天,建材營造,7,7,21,51,71,69,69,31,7,49,33,41,51,11,45,0,59,75,1,61,77,0,29,35,37,42,41
99,99,5531,鄉林,建材營造,23,25,9,83,17,67,67,97,77,51,85,97,55,85,0,67,57,43,47,59,19,41,23,58,46,47,52
100,100,5533,皇鼎,建材營造,47,27,31,49,97,65,65,77,73,63,25,37,71,9,1,11,55,27,93,57,75,0,27,41,47,58,48
101,101,5534,長虹,建材營造,73,71,57,23,41,63,63,79,71,65,31,39,73,7,0,17,53,55,7,55,73,3,25,41,58,40,48
102,102,5546,永固-KY,建材營造,61,53,43,35,59,61,61,51,13,91,27,35,63,5,5,65,51,13,95,53,71,7,37,33,52,62,45
103,103,6177,達麗,建材營造,43,45,47,59,53,59,59,81,69,67,29,43,67,3,0,63,49,35,25,51,69,5,35,41,52,49,46
104,104,9906,欣巴巴,建材營造,25,23,7,91,95,11,0,33,5,93,5,67,49,13,47,97,0,0,33,47,1,1,33,27,26,53,31
105,105,9946,三發地產,建材營造,35,37,33,53,81,3,0,83,67,1,0,81,65,1,0,39,45,81,75,0,63,0,31,36,27,54,38
106,106,1319,東陽,汽車工業,18,18,45,72,51,99,99,0,15,27,6,3,0,96,12,99,96,39,99,3,6,6,45,17,58,68,45
107,107,1338,廣華-KY,汽車工業,39,45,36,66,84,60,60,3,60,69,12,24,9,99,93,69,45,96,72,9,27,24,87,41,51,72,54
108,108,1339,昭輝,汽車工業,15,21,0,99,96,33,18,33,12,48,45,45,36,24,57,39,99,78,42,12,99,60,57,44,31,67,46
109,109,1512,瑞利,汽車工業,0,0,6,93,63,51,48,63,48,3,48,15,72,27,36,66,9,93,15,69,54,78,39,50,33,42,47
110,110,1521,大億,汽車工業,33,33,39,54,45,48,51,84,24,6,24,27,81,75,3,36,12,69,0,78,69,63,21,50,43,28,44
111,111,1522,堤維西,汽車工業,6,6,15,78,75,0,24,27,9,9,54,42,33,30,63,33,15,90,48,81,18,21,24,37,22,45,36
112,112,1524,耿鼎,汽車工業,3,3,3,96,27,30,27,42,66,51,57,66,27,33,45,12,3,48,6,87,51,54,84,56,27,24,42
113,113,1525,江申,汽車工業,21,24,18,81,69,45,36,69,36,54,60,39,69,36,24,27,6,57,81,90,48,51,69,54,38,49,47
114,114,1533,車王電,汽車工業,12,15,24,90,9,57,57,96,21,12,33,18,84,39,0,63,18,72,78,72,93,96,12,51,42,42,45
115,115,1536,和大,汽車工業,45,39,48,33,33,6,15,24,27,57,21,21,6,18,18,3,21,15,21,66,63,48,15,30,31,25,27
116,116,1568,倉佑,汽車工業,24,9,12,75,81,27,12,72,42,15,39,75,45,42,15,57,24,60,24,45,24,30,33,42,26,44,38
117,117,1587,吉茂,汽車工業,27,27,9,69,87,54,54,51,96,60,66,30,87,45,39,75,27,81,39,0,0,0,6,38,40,62,45
118,118,2115,六暉-KY,汽車工業,81,81,84,12,99,66,66,15,51,18,3,9,21,15,51,15,30,0,57,33,12,12,78,27,65,36,37
119,119,2201,裕隆,汽車工業,78,78,72,21,60,69,69,12,45,93,0,12,24,90,54,18,33,54,27,54,9,9,75,35,64,48,45
120,120,2204,中華,汽車工業,84,84,87,9,54,36,45,21,54,87,18,6,18,0,48,9,36,27,96,21,15,15,81,27,58,52,40
121,121,2206,三陽工業,汽車工業,72,72,75,15,15,15,33,6,0,66,9,0,15,21,66,21,39,63,18,93,3,3,0,20,47,37,33
122,122,2207,和泰車,汽車工業,99,99,99,0,24,63,63,99,18,90,27,72,93,48,30,0,42,36,69,99,87,84,72,66,70,44,57
123,123,2227,裕日車,汽車工業,90,90,93,3,48,72,72,90,57,63,30,69,99,69,27,6,48,75,51,51,75,87,66,65,70,48,61
124,124,2228,劍麟,汽車工業,54,60,30,84,36,75,75,78,75,72,87,81,57,78,75,78,69,9,36,42,60,57,27,65,63,50,58
125,125,2231,為升,汽車工業,57,63,51,48,18,9,0,93,33,81,90,36,90,57,9,81,51,12,75,57,90,90,18,60,38,53,50
126,126,2233,宇隆,汽車工業,66,66,63,36,78,21,6,75,39,75,93,51,66,60,21,30,90,99,33,36,42,45,30,51,43,68,54
127,127,2236,百達-KY,汽車工業,42,51,33,63,75,39,39,66,99,21,96,99,75,63,99,84,87,33,54,60,57,72,42,75,44,59,63
128,128,2239,英利-KY,汽車工業,60,54,60,42,9,78,78,45,72,24,69,84,51,9,87,87,84,30,9,27,36,33,60,52,62,40,53
129,129,2241,艾姆勒,汽車工業,48,36,54,45,72,12,9,30,63,96,36,78,39,66,69,90,81,45,84,18,30,27,90,50,34,78,53
130,130,2243,宏旭-KY,汽車工業,63,57,57,39,39,81,81,48,78,42,81,87,48,6,84,93,78,42,3,30,33,39,54,53,63,50,54
131,131,2247,汎德永業,汽車工業,75,75,78,24,30,3,30,39,90,30,78,63,30,51,60,96,75,6,66,63,66,75,48,60,48,50,54
132,132,2250,IKKA-KY,汽車工業,69,69,69,30,93,84,84,36,69,33,75,90,54,3,81,42,93,87,87,24,39,36,63,52,68,72,62
133,133,2497,怡利電,汽車工業,36,42,42,51,12,87,87,81,81,45,72,93,60,81,78,45,72,66,12,48,78,93,51,74,58,42,62
134,134,3346,麗清,汽車工業,87,87,81,27,21,90,90,87,30,78,63,96,96,72,6,48,66,24,45,75,96,99,36,69,77,47,65
135,135,4551,智伸科,汽車工業,96,96,96,6,90,93,93,9,93,99,15,33,3,93,96,60,63,51,90,6,21,18,99,44,80,76,62
136,136,4557,永新-KY,汽車工業,93,93,90,18,9,24,21,18,87,39,51,48,12,84,90,51,60,84,30,15,45,42,96,53,56,46,54
137,137,4581,光隆精密-KY,汽車工業,30,30,27,57,57,96,96,60,84,36,42,60,78,54,72,54,57,18,60,96,84,81,93,73,56,47,61
138,138,6288,聯嘉,汽車工業,51,48,66,87,66,42,3,54,3,84,84,54,42,87,33,24,54,21,93,39,81,69,3,50,50,57,50
139,139,6605,帝寶,汽車工業,9,12,21,60,42,18,42,57,6,0,99,57,63,12,42,72,0,3,63,84,72,66,9,52,27,30,40
140,185,1402,遠東新,紡織纖維,95,95,95,21,55,19,45,19,71,97,37,19,19,19,87,23,77,41,41,21,19,19,59,35,62,56,47
141,186,1409,新纖,紡織纖維,81,85,89,37,31,41,57,35,79,37,57,29,21,55,19,25,55,69,63,61,53,59,49,47,65,47,50
142,187,1410,南染,紡織纖維,35,47,37,53,87,73,65,63,51,75,67,39,51,33,49,75,97,75,21,59,41,47,21,47,52,72,57
143,188,1413,宏洲,紡織纖維,55,55,75,35,51,49,35,57,75,73,79,63,49,61,83,63,19,35,31,37,71,81,85,67,51,45,55
144,189,1414,東和,紡織纖維,37,33,55,55,49,37,23,79,23,67,77,97,67,99,81,71,51,51,81,57,83,79,33,70,40,62,60
145,190,1417,嘉裕,紡織纖維,33,35,47,93,95,43,29,67,27,65,65,35,59,43,39,73,49,27,65,53,43,51,23,46,47,62,49
146,191,1418,東華,紡織纖維,89,73,43,81,41,65,73,91,63,55,43,81,89,75,65,51,23,83,45,49,91,91,81,74,71,50,69
147,192,1419,新紡,紡織纖維,69,71,79,47,91,67,75,75,97,49,81,91,71,77,95,69,47,73,73,51,87,85,97,82,68,67,73
148,193,1423,利華,紡織纖維,57,51,27,95,77,59,25,99,99,79,53,79,95,79,99,97,45,19,29,55,99,99,99,87,52,58,67
149,194,1434,福懋,紡織纖維,25,25,57,63,45,27,51,21,37,91,85,21,31,51,21,29,43,63,51,19,33,21,35,34,41,54,41
150,195,1440,南紡,紡織纖維,65,67,73,49,33,31,37,47,73,83,31,41,33,21,61,19,99,29,37,39,65,69,75,50,54,50,49
151,196,1441,大東,紡織纖維,77,75,67,51,53,79,79,55,85,47,87,45,47,31,73,85,41,45,85,41,77,71,77,63,71,59,63
152,197,1444,力麗,紡織纖維,43,37,53,77,61,33,39,53,83,21,61,27,43,63,85,53,39,53,33,63,27,35,69,55,47,43,49
153,198,1445,大宇,紡織纖維,39,39,41,85,57,83,83,65,25,23,73,31,57,39,47,81,53,91,75,65,45,49,31,48,62,63,58
154,199,1446,宏和,紡織纖維,41,41,61,83,43,77,85,81,19,25,47,85,97,89,91,55,37,31,27,67,93,93,29,72,65,36,60
155,200,1447,力鵬,紡織纖維,53,49,49,71,65,45,41,23,59,27,83,33,25,47,27,57,35,33,53,33,23,31,39,38,51,45,43
156,201,1449,佳和,紡織纖維,23,23,25,79,71,55,53,33,33,29,91,69,37,49,35,31,33,97,19,71,75,75,61,57,43,47,53
157,202,1451,年興,紡織纖維,59,59,65,57,59,57,59,49,91,31,27,43,27,27,69,59,31,89,49,73,49,55,95,55,59,53,56
158,203,1452,宏益,紡織纖維,87,89,87,31,75,25,19,77,77,33,93,89,63,69,77,47,29,55,43,75,97,97,93,82,56,47,65
159,204,1454,台富,紡織纖維,31,29,29,89,29,85,89,87,31,35,63,65,55,41,37,49,25,85,93,77,47,53,27,53,59,53,57
160,205,1455,集盛,紡織纖維,75,77,83,45,37,39,47,51,69,19,29,51,23,59,79,45,57,61,99,99,51,57,63,57,61,53,58
161,206,1457,宜進,紡織纖維,83,83,69,43,93,89,93,97,57,39,95,83,99,81,55,65,73,25,25,79,95,95,87,84,77,53,71
162,207,1459,聯發,紡織纖維,45,43,23,91,41,91,95,85,89,41,51,93,61,95,75,67,59,87,57,81,85,83,73,79,65,59,70
163,208,1460,宏遠,紡織纖維,47,45,45,67,27,21,31,29,41,43,97,37,41,53,31,39,91,79,39,83,21,27,65,48,43,53,48
164,209,1463,強盛新,紡織纖維,27,27,39,69,47,93,81,27,29,45,69,23,39,35,23,93,21,59,61,25,31,23,25,32,56,54,47
165,210,1464,得力,紡織纖維,29,31,35,75,69,29,27,93,21,85,49,49,53,93,25,87,89,99,83,85,29,39,19,50,38,85,57
166,211,1465,偉全,紡織纖維,21,21,21,97,67,97,77,25,35,77,71,25,35,37,29,79,87,43,67,23,55,25,37,36,56,70,51
167,212,1466,聚隆,紡織纖維,63,63,77,39,81,47,43,71,67,51,23,99,45,91,59,43,85,39,71,87,73,73,67,69,55,62,62
168,213,1467,南緯,紡織纖維,67,61,85,41,85,53,33,89,61,53,45,87,93,87,63,41,83,65,95,45,89,87,89,76,57,70,70
169,214,1468,昶和,紡織纖維,71,69,51,61,57,63,97,43,53,87,33,61,77,25,51,91,81,49,91,89,39,45,53,52,69,76,62
170,215,1470,大統新創,紡織纖維,61,65,63,59,79,95,87,39,43,57,75,53,85,23,45,37,79,93,89,91,35,41,47,52,72,72,64
171,216,1473,台南,紡織纖維,49,53,33,87,63,51,61,61,95,59,19,71,83,85,97,35,93,23,35,31,63,61,57,66,56,51,58
172,217,1474,弘裕,紡織纖維,51,57,59,65,39,61,55,73,81,61,25,75,65,83,71,33,75,67,59,93,59,63,71,69,58,56,63
173,218,1475,業旺,紡織纖維,79,79,31,73,35,81,63,41,55,63,35,59,75,29,53,99,71,37,87,95,37,43,55,52,68,65,61
174,219,1476,儒鴻,紡織纖維,93,93,93,27,83,35,49,31,93,95,89,55,29,65,93,27,95,71,97,97,25,29,91,63,65,78,67
175,220,1477,聚陽,紡織纖維,99,99,99,19,99,69,71,83,87,99,39,95,91,73,89,21,69,21,69,47,81,89,79,78,76,63,71
176,221,4414,如興,紡織纖維,97,97,97,23,67,75,69,95,65,69,55,77,79,71,67,61,67,57,55,43,61,67,83,69,76,63,69
177,222,4426,利勤,紡織纖維,19,19,19,99,89,23,21,59,39,71,21,67,87,67,33,83,65,81,23,35,69,65,41,53,33,69,55
178,223,4438,廣越,紡織纖維,91,91,91,25,97,71,67,45,45,93,59,57,73,57,41,77,63,77,79,29,67,37,43,50,73,81,67
179,224,4439,冠星-KY,紡織纖維,85,87,81,29,73,87,91,37,49,89,41,47,69,45,57,89,61,95,77,27,57,33,45,46,77,81,63
180,225,4440,宜新實業,紡織纖維,73,81,71,33,25,99,99,69,47,81,99,73,81,97,43,95,27,47,47,69,79,77,51,71,76,54,65
181,226,1432,大魯閣,運動休閒,1,1,1,99,64,15,1,71,78,15,50,92,71,15,92,43,92,29,1,43,29,71,92,64,20,41,47
